"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"164",74,80,39,49,65,33,71,33,66,59,58,49,36,46,24,26,55,53,26,43,36,33,21,29,12,41,20,26,12,20
"165",94,116,53,57,78,37,74,68,54,63,56,58,48,43,33,23,55,65,53,49,55,26,27,46,33,33,20,44,20,19
"166",124,94,62,48,66,43,55,53,55,74,64,53,30,63,51,25,67,39,40,61,46,34,25,33,43,37,27,36,30,18
"167",66,68,58,38,43,50,54,33,41,57,42,49,31,38,30,36,34,31,34,40,30,21,27,33,31,37,21,22,27,30
"168",30,36,31,16,19,16,17,21,21,15,20,31,12,19,26,8,14,8,19,16,13,11,17,16,24,11,9,21,6,7
"169",23,16,19,6,8,18,13,13,9,8,10,12,10,7,11,8,8,9,11,8,15,6,12,11,12,6,5,17,4,2
"170",16,15,19,3,7,6,7,7,1,4,5,6,1,4,2,3,3,3,5,7,12,3,4,3,7,6,6,10,3,0
"171",9,6,15,3,5,5,2,2,1,0,3,1,2,2,1,3,3,1,4,3,4,0,0,2,5,1,1,2,1,3
"172",10,2,3,2,1,4,2,6,6,4,3,2,3,4,2,2,3,2,2,1,3,1,3,2,0,3,0,3,1,1
"173",6,9,4,2,4,4,11,6,7,10,3,6,2,5,3,0,2,3,2,3,3,1,0,7,3,3,1,3,0,2
"174",24,25,16,3,13,10,17,16,10,11,5,13,6,13,2,6,12,12,8,13,4,6,4,7,6,5,2,4,3,2
"175",39,32,12,7,28,19,30,26,36,28,12,23,10,14,20,28,14,11,8,21,22,13,11,23,15,14,11,14,6,10
"176",48,52,35,21,41,25,36,47,23,32,22,33,25,23,6,14,27,28,18,25,16,19,12,24,14,26,9,15,15,14
"177",68,58,44,20,27,27,39,34,25,40,17,37,29,26,20,27,18,28,17,27,34,25,28,21,18,19,12,17,25,14
"178",75,64,41,31,46,43,67,36,49,45,41,43,39,30,31,38,23,27,27,29,26,30,30,23,19,36,19,21,14,14
"179",63,69,38,20,24,40,39,31,27,49,34,40,35,37,18,33,25,33,35,31,36,25,19,24,18,32,25,19,17,21
"180",45,49,40,17,31,25,42,29,32,30,26,42,40,14,21,17,20,25,17,22,22,16,22,17,29,35,23,20,16,16
"181",47,59,38,25,52,25,44,25,41,44,28,26,36,27,27,25,30,51,27,31,30,27,22,19,18,33,17,17,16,16
"182",71,58,58,23,35,30,38,27,35,36,31,29,30,23,27,26,27,41,34,27,25,25,41,31,25,26,19,11,22,19
