"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"152",35,53,47,32,23,21,20,33,35,20,17,12,15,18,18,20,39,27,20,11,19,9,21,20,20,26,8,14,13,5
"153",44,69,72,42,42,29,40,35,44,34,39,23,18,18,24,41,32,45,24,32,28,10,31,27,24,18,12,23,11,10
"154",69,76,66,44,51,33,41,63,50,21,34,29,9,23,27,21,35,33,30,27,27,15,21,23,42,29,13,27,20,6
"155",53,65,75,49,28,27,29,28,40,22,32,26,17,14,30,21,33,45,35,26,24,13,23,18,15,25,10,28,13,4
"156",54,63,82,44,31,30,40,29,48,20,38,19,21,20,24,27,31,32,22,30,21,15,26,25,20,32,23,26,31,7
"157",47,55,90,45,44,40,44,33,40,15,27,30,10,19,23,31,19,34,29,30,20,44,25,26,15,33,17,23,21,4
"158",60,82,94,55,48,32,32,28,31,19,32,27,19,30,30,20,30,43,30,35,19,55,36,29,29,42,18,18,22,14
"159",55,67,85,51,24,33,37,47,33,17,43,29,11,28,24,31,30,29,32,27,27,57,30,26,15,36,27,22,21,10
"160",39,77,70,55,31,38,35,30,40,13,27,30,13,31,29,25,33,38,27,30,19,47,29,22,23,29,21,25,14,8
"161",33,79,60,54,34,27,24,39,22,15,31,17,12,11,15,23,30,30,39,17,21,48,20,20,13,21,12,21,9,8
"162",54,65,61,50,26,29,33,40,33,10,25,20,24,27,18,29,14,30,33,25,27,40,11,15,21,28,18,10,12,5
"163",55,69,76,63,48,38,38,44,44,19,41,42,18,28,20,30,28,34,39,33,32,48,13,24,14,28,23,10,27,8
"164",62,103,113,65,58,57,57,53,37,26,49,39,26,38,39,55,35,48,37,41,51,62,29,22,20,36,31,16,33,10
"165",53,92,115,106,71,44,60,51,62,28,56,41,36,42,37,47,41,52,32,20,41,79,23,36,30,35,34,27,24,14
"166",66,126,136,102,66,41,47,53,62,21,70,68,25,43,43,59,48,61,34,40,36,65,37,34,38,45,55,33,37,11
"167",59,76,127,91,65,38,45,57,49,17,46,33,23,30,39,36,37,59,31,36,38,51,48,34,30,25,37,28,24,15
"168",32,70,33,24,40,46,38,50,30,12,18,17,12,23,41,13,29,25,19,22,31,24,17,10,26,34,11,23,11,2
"169",18,29,26,23,17,20,14,15,9,7,6,8,10,10,8,20,17,7,12,8,8,15,6,16,10,10,4,17,4,6
"170",9,15,12,8,7,12,1,6,5,1,8,7,5,5,4,6,14,7,2,6,7,11,5,4,5,3,1,6,4,0
"171",7,8,8,5,4,10,6,2,4,2,5,1,2,10,3,5,5,2,2,2,1,8,0,2,3,3,2,7,0,1
"172",5,7,9,6,3,4,3,5,6,0,6,1,3,2,3,0,2,2,2,4,1,7,0,0,5,4,4,6,3,1
"173",2,11,19,8,1,6,3,1,3,1,3,9,1,2,3,6,0,2,3,2,2,2,0,2,3,2,2,2,4,1
"174",5,15,26,9,11,9,19,7,7,5,7,9,7,13,8,13,9,5,3,8,8,7,1,8,8,5,3,6,15,2
"175",9,58,58,28,29,21,13,11,29,4,21,15,4,19,27,20,19,9,12,13,15,8,9,12,9,11,9,10,18,4
"176",28,57,54,47,43,25,27,25,24,11,32,19,12,18,28,29,28,15,17,16,16,13,18,15,14,35,11,19,16,7
"177",38,62,67,71,50,45,36,36,36,22,35,28,20,20,32,24,37,31,31,26,31,8,22,20,16,27,11,19,21,6
"178",48,66,92,53,62,43,32,61,41,21,40,21,11,15,41,46,26,42,32,22,25,15,28,25,18,31,20,18,10,10
"179",37,74,54,61,66,38,38,44,35,12,33,18,15,25,29,36,36,42,27,35,37,29,17,17,21,21,16,19,15,7
"180",24,56,60,57,48,50,33,48,35,11,28,12,13,28,36,18,35,50,42,38,24,11,33,27,22,33,24,12,19,5
"181",46,87,94,67,57,40,23,40,29,18,32,24,24,27,38,23,39,44,39,30,29,21,29,31,19,42,21,19,23,5
"182",53,79,79,64,60,48,36,29,36,12,25,28,17,29,42,33,37,53,38,35,29,21,30,26,21,27,30,20,17,9
"183",41,71,97,65,51,45,44,47,41,12,45,35,19,15,30,26,17,41,40,32,36,10,32,42,29,27,33,22,24,10
"184",41,82,81,85,68,55,21,47,47,11,31,21,21,18,39,25,44,51,38,33,33,17,26,20,21,33,23,25,14,12
"185",58,71,86,67,47,42,23,47,43,8,41,19,20,31,38,22,35,33,35,20,28,16,24,25,18,26,26,14,25,11
"186",49,85,100,80,52,53,28,40,35,12,32,27,17,23,53,30,29,49,37,10,27,23,24,23,19,34,29,25,19,7
"187",76,77,100,101,59,72,36,57,53,15,33,35,21,30,45,42,40,45,39,45,26,6,33,27,23,51,40,11,33,20
"188",74,98,134,99,63,89,54,72,55,14,44,47,21,48,58,41,37,64,50,46,38,21,32,26,43,43,30,26,40,22
"189",82,133,110,117,79,91,56,78,42,19,51,45,31,35,72,62,44,64,57,52,36,19,30,31,45,62,52,24,26,23
"190",94,123,147,137,76,52,55,87,63,15,65,41,27,53,78,40,45,63,62,52,30,19,50,59,38,44,46,33,30,17
"191",52,99,108,118,91,69,56,82,67,13,39,40,21,27,56,41,52,45,51,53,38,7,55,33,34,33,24,35,20,11
"192",37,60,53,51,46,65,19,32,45,6,28,21,8,11,25,19,29,36,31,26,31,9,13,24,30,20,9,15,19,3
"193",12,32,24,19,17,20,9,5,19,0,9,7,5,11,18,6,16,13,21,8,8,5,11,10,16,13,5,5,7,1
"194",7,18,10,7,12,6,6,7,9,1,3,8,1,3,3,4,7,6,6,2,6,3,3,6,1,6,2,4,2,1
"195",4,7,8,10,3,4,3,4,7,2,4,6,0,3,7,4,3,8,2,0,0,1,2,5,1,5,3,3,1,1
"196",4,11,8,6,5,3,1,1,6,3,2,5,0,2,1,3,0,7,5,4,4,1,3,2,4,2,0,2,0,0
"197",7,7,15,9,6,8,5,2,5,0,1,4,1,4,13,3,1,4,3,4,3,1,2,0,3,2,3,0,2,0
"198",6,19,26,15,15,7,3,3,10,2,5,10,1,8,8,5,8,5,7,3,3,0,7,5,3,2,4,1,9,4
"199",16,44,49,29,36,24,14,19,28,6,14,29,7,16,19,26,12,16,20,13,15,8,14,14,15,9,10,7,28,6
"200",26,61,87,51,26,33,34,33,32,12,25,26,9,21,39,21,29,32,22,16,12,9,29,24,20,33,12,10,16,8
"201",37,78,82,63,24,55,30,57,28,8,29,21,15,18,50,28,30,43,35,40,27,8,17,25,20,36,26,15,15,9
"202",35,94,79,63,49,44,35,50,50,9,29,13,9,24,41,30,39,50,35,30,22,11,32,28,29,31,21,24,15,13
"203",36,63,79,61,37,45,44,27,36,7,22,31,19,19,34,26,40,33,59,25,35,13,25,26,18,29,21,14,17,5
"204",28,76,72,65,34,48,33,37,20,11,13,28,10,22,42,33,32,54,164,32,20,13,25,21,25,48,22,14,19,11
"205",37,69,94,82,31,47,33,47,43,8,25,20,13,28,25,32,31,51,41,29,24,12,20,22,25,25,20,16,14,13
"206",35,89,79,77,35,57,33,45,25,13,14,32,9,30,40,27,29,43,43,23,22,14,22,25,23,29,34,19,23,21
"207",54,92,75,81,55,57,32,48,41,12,18,33,14,24,41,26,37,39,32,39,28,13,22,22,9,37,36,17,19,11
"208",37,83,69,105,35,45,54,48,42,7,25,30,18,29,44,40,46,57,36,43,18,21,33,23,16,25,22,24,25,14
"209",36,82,56,93,30,55,37,49,40,7,20,26,12,23,47,32,32,27,41,22,16,10,25,27,14,26,13,19,16,8
"210",31,118,71,59,39,60,36,41,41,5,25,29,9,27,49,21,40,39,33,34,18,8,18,32,24,33,19,20,14,6
"211",44,118,85,81,39,67,35,60,33,6,19,31,20,29,48,37,33,44,33,26,25,15,30,24,11,35,35,24,27,14
"212",70,118,108,127,58,89,45,82,62,12,45,39,15,47,64,41,43,39,46,37,41,22,31,25,18,35,30,14,33,36
"213",66,123,118,180,57,53,41,90,65,18,61,42,20,44,70,55,65,62,61,53,39,27,41,48,27,66,46,35,38,25
"214",63,141,119,138,75,76,49,83,72,17,41,48,29,51,75,37,42,75,48,61,27,26,33,42,35,53,43,34,33,30
